address,name,r_n_address,rate,rate_num,고기,한식,중식,양식,일식,카페,가족식사,친구랑,술자리,밥약,데이트,디저트,혼밥,분위기 있는,가성비,깨끗한,소개팅,뒷풀이,Column2,Column3,Column4,예약가능여부,tags,참고사항
서울 서대문구 연세로5길 26-17 (우)03789,기꾸스시,창천동 62-15,3.5,39,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,,,,0,'etc',
서울 서대문구 연세로13길 7 한성빌딩 1층 (우)03788,텐동미세기,창천동 78-19,3.3,30,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,0,"'#혼밥', '#제로페이'",
서울 서대문구 명물길 63 (우)03776,명륜진사갈비 서울신촌점,창천동 9-22,1.9,30,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,0,"'#친목모임', '#회식장소', '#제로페이'",
서울 서대문구 명물길 18 1층 (우)03777,대구삼겹살,창천동 13-26,2.8,16,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,0,"'#안심식당', '#노포', '#제로페이'",
서울 서대문구 연세로2길 29 1층 (우)03779,판자집,창천동 29-18,4.3,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,"'#노포', '#제로페이'",
서울 서대문구 이화여대2가길 24 (우)03767,까이식당,대현동 53-15,4.6,62,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,,,0,'#혼밥',
서울 서대문구 명물길 27-7 (우)03776,제주돈1848,창천동 50-8,4.4,10,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,,,0,"'#친목모임', '#혼밥', '#회식장소', '#제로페이'",
서울 서대문구 연세로 8-1 지하 1층 (우)03779,커피빈 신촌점,창천동 18-26,4.1,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,,,,0,'#카카오페이',
서울 서대문구 연세로7안길 1 1층 (우)03788,셀리스도넛,창천동 52-49,3.7,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,,,,0,'#제로페이',
서울 서대문구 연세로9길 25 (우)03788,고래고래회해산물포차 신촌점,창천동 52-46,2.2,13,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,0,"'#해물포차', '#제로페이'",
